time;dev;tps;r/s;w/s;avgrq-sz;avgqu-sz;await;svctm;pct_util
15:35:33;sdb;3.22;0.00;43.46;13.50;0.00;0.00;0.00;0.00
15:35:33;sda;9.26;0.00;117.51;12.70;0.00;0.17;0.17;0.16
15:35:38;sdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:35:38;sda;9.24;0.00;163.86;17.74;0.00;0.00;0.00;0.00
15:35:43;sdb;1.41;0.00;19.32;13.71;0.00;0.00;0.00;0.00
15:35:43;sda;6.64;0.00;93.36;14.06;0.00;0.00;0.00;0.00
15:35:48;sdb;0.20;0.00;1.61;8.00;0.00;3.00;3.00;0.06
15:35:48;sda;7.43;0.00;139.76;18.81;0.00;0.30;0.11;0.08
15:35:53;sdb;1.61;0.00;27.36;17.00;0.00;1.12;0.37;0.06
15:35:53;sda;7.65;0.00;111.07;14.53;0.00;0.05;0.03;0.02
